card_id,user_id,card_type,card_number,expiry_date,credit_limit,current_balance,status
161,63327,MasterCard,3596513218404909,02/33,200000,66312.27,blocked
162,39354,Discover,4228002183948,08/27,100000,65886.23,active
163,220,Visa,30209486444293,12/29,50000,10539.06,expired
164,33851,Discover,2264599286078314,10/30,50000,75609.71,expired
165,46598,MasterCard,4166644840857731,07/33,50000,37097.55,blocked
166,8801,American Express,639004329947,01/28,500000,15040.84,expired
167,26823,Visa,30513010955876,01/29,100000,9025.91,blocked
168,54611,Discover,6508380370829426,02/26,50000,98815.94,active
169,82683,MasterCard,3575330374055317,02/33,50000,56566.61,expired
170,42254,Discover,4991936440593596,03/28,50000,53694.7,blocked
171,21806,Visa,4100324556913,11/31,50000,86427.28,active
172,12398,Discover,4642004736529478,06/27,50000,20617.37,expired
173,62546,Visa,580966296403,11/25,50000,76922.53,active
174,25153,Visa,4379178351012255185,05/29,200000,31021.66,active
175,67597,American Express,30174148614248,06/29,100000,6590.02,expired
176,64800,MasterCard,4248223003152305,01/26,100000,94451.23,expired
177,14441,Discover,502002813454,11/31,500000,12594.02,active
178,68552,Discover,3516014592745097,09/33,500000,70031.1,active
179,77757,Discover,4148475181537837,03/31,100000,53196.54,blocked
180,79467,MasterCard,3519285849196147,04/34,50000,71306.66,expired
181,36195,MasterCard,6011138291596015,04/33,50000,78358.43,expired
182,71768,Discover,348025632708655,07/30,500000,25425.39,blocked
183,5573,Discover,4986791615596750947,10/34,100000,97821.36,expired
184,73230,Discover,4708336942214383,12/29,200000,96822.54,active
185,6506,MasterCard,4913233710455085,02/26,500000,88678.96,active
186,11254,American Express,30132698810392,10/25,100000,60506.11,blocked
187,95677,Visa,4566039005289794,12/31,500000,49918.62,blocked
188,54795,Visa,3585759266301413,01/28,200000,7291.97,expired
189,56194,American Express,2598295376035564,05/27,500000,22688.59,expired
190,49115,American Express,4708165889227987345,03/32,100000,36823.42,blocked
191,44632,MasterCard,3575283276123339,04/34,500000,52090.56,active
192,54682,Discover,4651581826678842,01/32,200000,53908.96,expired
193,51751,American Express,573721181317,05/33,50000,24273.59,expired
194,3727,American Express,213164935896966,05/27,500000,40674.42,active
195,99063,American Express,30460848902201,10/25,500000,35170.3,blocked
196,10614,Visa,4599155414624909,05/33,200000,68077.2,active
197,46140,American Express,4548543151512,12/30,100000,5206.19,active
198,68881,MasterCard,6524596602955354,08/28,500000,79789.38,active
199,14674,Discover,30481687773347,02/35,50000,23034.74,blocked
200,70155,Discover,180001939693164,07/33,50000,24767.68,expired
201,60114,American Express,5119049796945727,05/31,500000,12726.15,active
202,40652,American Express,4992625920217995,05/32,200000,38069.47,active
203,72996,American Express,36741281649399,02/29,500000,94546.86,active
204,81359,American Express,4670499965691022436,12/28,50000,71671.98,expired
205,24429,MasterCard,4672550227137109,01/27,50000,75738.19,blocked
206,89496,Visa,3569689853852470,08/33,100000,11727.27,blocked
207,43458,Discover,6011335131321907,11/33,500000,24164.86,blocked
208,72273,MasterCard,3500153863555377,08/26,50000,58564.57,blocked
209,87476,MasterCard,30523065330347,03/34,500000,31291.48,expired
210,63235,Discover,4954478981047018,07/33,500000,38976.98,expired
211,48447,Discover,4357695964481665,04/33,100000,81007.85,expired
212,98058,American Express,3528738411246590,03/29,100000,40712.08,expired
213,80314,Visa,180055981199074,09/27,500000,17915.31,active
214,99771,Visa,341848209098540,08/29,500000,97160.8,active
215,53729,American Express,3534552813914032,06/32,200000,33537.55,expired
216,37471,MasterCard,3578584259861598,08/29,500000,22569.36,active
217,66755,Discover,30406543053923,04/30,100000,72290.61,expired
218,42169,Discover,4948342818008867978,01/34,200000,45167.24,expired
219,62101,Discover,180009585799383,09/33,200000,99075.87,expired
220,84495,Visa,4000771390597001,01/31,100000,12333.39,blocked
221,23078,Discover,4575656623016561,09/29,50000,24425.25,blocked
222,17952,Visa,2492710131232600,09/30,200000,408.82,blocked
223,22231,MasterCard,4535040212384145,06/34,100000,40492.68,blocked
224,35121,MasterCard,4827615027226,08/29,100000,17423.71,blocked
225,45701,Discover,3536040058254031,08/28,200000,75598.75,blocked
226,83967,Visa,4324513171590055,03/30,200000,15479.67,expired
227,73612,American Express,2265806787573456,12/31,500000,31139.04,active
228,20692,MasterCard,503888560235,11/34,500000,98294.02,active
229,54695,Discover,6011150783883207,05/32,200000,43688.36,active
230,22858,Discover,2277878526296364,06/33,100000,32696.85,blocked
231,76854,Visa,38599397454379,03/35,50000,88544.01,active
232,66346,MasterCard,30258535920605,02/29,100000,60153.37,blocked
233,54490,Discover,581318147641,12/27,500000,60294.08,active
234,69913,Visa,2700604802908838,01/30,500000,88376.56,blocked
235,13223,Visa,30575784200441,12/32,50000,8143.77,blocked
236,14749,Visa,180083694843069,08/25,50000,23417.82,active
237,50721,Discover,30524701979026,12/27,500000,11532.64,blocked
238,20544,MasterCard,5309891865253644,05/32,100000,92330.88,active
239,2023,MasterCard,4739003140422,01/31,500000,49350.46,active
240,40800,American Express,30144358675106,07/34,200000,93758.13,active
241,70559,MasterCard,2236119170699672,07/33,200000,7723.62,expired
242,67567,Discover,4496112278557836,05/34,500000,76135.54,expired
243,88263,American Express,3544267229815271,01/32,200000,20573.15,blocked
244,69039,American Express,587838772941,04/33,200000,40099.58,expired
245,88814,Visa,378792229957382,11/28,200000,46917.48,expired
246,6720,American Express,3506536557039100,08/34,500000,12343.95,expired
247,92563,Discover,4303344421327212,02/32,500000,78092.8,expired
248,92249,Discover,3540755280498387,07/34,100000,2328.91,expired
249,46231,Discover,372936190208384,03/26,200000,60609.51,active
250,2224,MasterCard,2233179306151405,08/26,200000,50146.3,active
251,69306,Discover,6536229520349742,06/30,200000,83594.49,blocked
252,27972,MasterCard,2412913788772962,07/30,50000,23637.42,expired
253,66044,Visa,3546876404207928,06/26,100000,62547.46,expired
254,41159,American Express,676282237988,02/29,50000,45086.81,expired
255,14582,Visa,4712545320460582,08/27,200000,4740.57,expired
256,48390,Visa,6586848040573173,08/34,500000,77885.23,blocked
257,8449,Visa,4706053948199105119,02/28,200000,59620.61,blocked
258,47602,Visa,2720291368852745,02/34,50000,45891.12,expired
259,18427,American Express,4305942558136864,03/34,100000,94054.69,expired
260,7635,Visa,4320328499543593,02/34,100000,88786.48,active
261,85872,Visa,3531958289376874,07/32,500000,27464.06,expired
262,24160,MasterCard,639037008989,02/28,500000,3743.27,active
263,59125,American Express,2289153136810111,09/34,200000,83041.28,active
264,84635,Visa,36074157745087,02/33,500000,9006.12,expired
265,21643,MasterCard,3561632176300155,11/30,100000,84714.99,expired
266,47276,American Express,3596242645861768,10/27,100000,97491.25,active
267,98911,Visa,2242499037731708,06/25,200000,33121.02,active
268,92805,Discover,340736218123865,09/27,200000,14621.27,active
269,88639,Visa,6011896965753655,02/33,50000,63022.34,active
270,38378,MasterCard,3567469921154346,08/31,200000,72228.98,blocked
271,46519,American Express,213187554850428,10/30,50000,33359.65,active
272,66638,Visa,30246278976173,06/34,100000,72284.67,blocked
273,80179,Discover,180057024337562,11/28,500000,64079.27,active
274,53355,Visa,378146886119226,08/27,500000,6157.16,active
275,66747,Visa,4687388285975,02/33,200000,67954.64,expired
276,39403,MasterCard,6011180272499496,03/32,500000,89690.21,expired
277,55279,Discover,4723223626658053760,06/25,100000,40734.06,blocked
278,1627,Visa,4652855678570045,09/30,100000,93227.2,expired
279,43083,Discover,3538279409078032,03/27,100000,18782.23,expired
280,50096,American Express,3505590087872176,08/25,100000,68008.91,active
281,62305,American Express,3584494597524142,11/28,100000,46637.89,blocked
282,21274,American Express,3594084423023498,12/30,200000,63945.27,active
283,91911,American Express,6011863600570936,03/33,200000,51083.9,blocked
284,45056,Discover,4457036954770588014,12/30,200000,79309.95,blocked
285,45988,MasterCard,4877385818759,11/25,500000,24674.49,active
286,83958,American Express,4831560051990240,06/29,500000,88789.59,blocked
287,7406,MasterCard,3572124305641425,09/27,200000,81079.86,active
288,12371,American Express,502066434734,02/30,100000,97743.88,blocked
289,30367,Discover,213167043248566,07/25,100000,18135.16,active
290,1183,MasterCard,213154112806649,11/33,500000,57063.07,expired
291,26427,Visa,4769449563578337,04/31,50000,98432.09,active
292,5302,Discover,3590134238321324,07/27,500000,87640.03,expired
293,86478,Visa,4729940941096558828,08/32,200000,88129.84,blocked
294,2627,Visa,4388167872159455,11/27,200000,24435.15,active
295,87923,MasterCard,4789546568678107,07/28,50000,5111.04,active
296,15201,MasterCard,4364034226759,11/26,50000,64753.64,active
297,40974,MasterCard,3519407268050643,11/28,50000,40221.1,blocked
298,56695,Discover,30270848275122,12/30,200000,28806.79,active
299,28937,Visa,4726571043799,12/32,50000,78081.46,expired
300,25166,Visa,676214970375,01/32,500000,27749.61,active
301,13564,Visa,180096533510897,03/26,200000,20249.61,active
302,9298,American Express,4008410334734206093,06/25,200000,72290.55,active
303,46369,Visa,2711358806721914,06/28,50000,5643.07,blocked
304,90519,MasterCard,377886325035829,06/28,200000,18802.46,blocked
305,3057,Visa,36919795488823,06/33,500000,44530.04,blocked
306,51973,Discover,5167220221073887,12/31,50000,18142.38,expired
307,6228,Visa,4134430331053116,12/31,100000,47347.69,active
308,50342,Visa,503804283813,12/26,100000,44716.7,active
309,23638,MasterCard,6511584209434564,01/28,200000,47957.46,active
310,52132,American Express,180007711439320,06/34,200000,42999.67,expired
311,18977,Visa,2296562295825234,08/34,200000,82350.72,blocked
312,61803,Discover,4781206261662,03/30,50000,32559.34,active
313,26268,MasterCard,3517206716954550,02/32,50000,36258.18,active
314,68165,American Express,575639176479,03/35,50000,1465.71,active
315,49193,MasterCard,30311450406298,06/34,200000,74901.11,expired
316,95984,MasterCard,180027490128209,01/30,500000,44724.67,expired
317,31476,Discover,371271328573983,09/25,500000,37091.85,active
318,60550,Discover,4202700854497029414,09/33,500000,70215.42,expired
319,47961,American Express,213148511279622,11/32,100000,12697.83,expired
320,19186,Visa,4136607394325,05/34,50000,19816.9,expired
321,76421,American Express,38731071172684,06/33,100000,74205.52,active
322,10901,Visa,370992541157210,12/28,200000,90764.45,blocked
323,53235,MasterCard,2222568512748827,08/30,50000,87437.08,blocked
324,87511,Discover,345405296794097,07/30,500000,5503.55,active
325,14350,American Express,3574871443034800,09/33,200000,59952.33,active
326,94090,Discover,3533829504180250,06/30,50000,936.33,expired
327,82761,Discover,3576448160499140,10/31,200000,50028.42,expired
328,87273,Visa,371900099476410,04/33,500000,7032.38,blocked
329,77012,Discover,349254076824310,05/34,100000,87574.11,blocked
330,67653,MasterCard,213173614154167,04/34,50000,4789.06,blocked
331,14567,Visa,349950664969983,08/33,100000,37716.03,active
332,55717,MasterCard,2720270790319705,06/30,50000,72006.02,active
333,90134,MasterCard,4375426463077670253,12/28,100000,77647.78,blocked
334,886,Visa,180015058210592,06/28,500000,65579.32,blocked
335,48785,Discover,4638664880123295318,06/30,200000,65987.46,active
336,78951,MasterCard,5328718732816708,12/33,200000,90290.52,expired
337,42075,Discover,4596496706043899810,08/33,50000,32315.96,active
338,3481,Discover,4046400097305668,03/35,500000,7198.99,expired
339,78587,Discover,4791943538925922,02/26,500000,85816.8,blocked
340,37931,Discover,4904839546622457636,02/32,500000,15892.61,active
341,23346,MasterCard,4484957008846022,07/32,100000,77192.68,active
342,45816,American Express,4715316332395357,10/34,100000,63547.1,expired
343,76671,Visa,3532654038379744,02/34,100000,82753.33,blocked
344,48336,American Express,213140607557219,12/30,50000,87880.67,expired
345,13479,Discover,4755843618387528,07/27,200000,24925.96,expired
346,70970,American Express,4430534895185,07/32,500000,33416.23,blocked
347,29600,Visa,30344622127195,03/26,200000,33298.2,blocked
348,22264,Visa,581969207066,10/29,100000,88045.5,blocked
349,12764,MasterCard,4385854112483240,09/26,200000,91757.77,expired
350,92784,Discover,6530422135755686,12/25,50000,63468.79,expired
351,19735,MasterCard,342733030413796,08/30,100000,17427.62,blocked
352,89217,Discover,6557177467813267,02/35,500000,87513.07,blocked
353,90121,Visa,3520436480480558,01/27,200000,3749.93,blocked
354,70439,American Express,3561780887379826,08/29,50000,4947.76,expired
355,89644,American Express,2492114944477470,01/30,100000,50475.91,active
356,96108,American Express,3541837856250191,02/32,200000,24892.65,expired
357,27235,Discover,4522566065280019,04/33,50000,86027.78,expired
358,63116,American Express,180085803212060,12/31,500000,31186.12,expired
359,48735,American Express,3511650587678382,12/29,500000,20589.0,blocked
360,95343,MasterCard,4111652650268606,06/29,200000,38409.36,expired
361,58673,MasterCard,30549417576949,09/25,100000,34889.81,blocked
362,21358,Discover,4707188215615288,04/27,100000,43272.86,blocked
363,27023,Discover,630475602409,12/28,500000,64173.59,active
364,1079,American Express,3589073176051563,01/34,200000,51959.18,blocked
365,11710,American Express,213151715303073,03/35,500000,42715.56,expired
366,58050,Visa,6513457282558310,08/34,100000,21517.49,active
367,21512,MasterCard,6011737486407431,12/29,200000,61468.82,blocked
368,94506,MasterCard,3555189050024524,12/31,500000,63444.95,expired
369,67854,MasterCard,4062585905140,02/33,500000,17171.64,expired
370,11938,American Express,213131992822813,09/29,100000,46108.27,expired
371,12436,MasterCard,3543976719395237,08/31,500000,795.53,blocked
372,25877,Discover,3509907937768329,04/30,100000,35630.04,expired
373,24686,American Express,36583666349363,10/27,500000,40348.17,blocked
374,90812,Visa,6011488791185441,10/26,50000,46409.63,blocked
375,18251,Visa,6011736132183438,12/32,50000,55230.67,active
376,37748,Discover,630403379831,11/31,50000,12207.71,blocked
377,7995,American Express,30482378911790,08/29,500000,66448.38,active
378,29544,American Express,6559527718113552,04/31,50000,35631.65,active
379,20327,MasterCard,4041091578024657,12/26,200000,77041.49,active
380,30913,MasterCard,4356838101022,02/32,200000,29999.83,expired
381,42291,Visa,4239158781214915444,05/27,500000,1830.66,expired
382,20133,MasterCard,3547198403769694,02/32,100000,22888.75,expired
383,52210,Discover,4314247984995035,10/26,100000,51497.24,active
384,52928,Visa,30337403639263,01/30,500000,26324.89,blocked
385,13710,American Express,2291231252743112,03/27,100000,91781.21,active
386,97362,American Express,344052469701896,01/26,50000,48769.24,active
387,55800,American Express,2614830766484921,08/31,100000,43985.44,blocked
388,89015,MasterCard,6599222068098916,07/25,500000,84340.92,active
389,23039,Visa,639018945381,03/31,200000,18763.2,expired
390,1837,American Express,4860449945450526,02/32,500000,14159.27,expired
391,48140,American Express,4308114805054558,09/28,50000,26764.57,expired
392,9906,MasterCard,4952259503013445514,09/34,500000,79326.95,expired
393,48974,Visa,348248266638358,07/33,50000,73633.21,expired
394,43744,Visa,3521427113732563,02/32,50000,95950.95,blocked
395,84200,Discover,574577262607,08/27,200000,17464.92,expired
396,9928,MasterCard,3536325371907427,02/33,50000,70668.03,active
397,65353,American Express,4999732110282,12/33,100000,30251.13,expired
398,26528,Discover,4654097454748,11/27,50000,27168.49,blocked
399,33898,American Express,30391093924840,07/34,50000,96207.54,expired
400,8947,Discover,4994119534883811453,06/34,50000,3421.47,blocked
401,77840,Visa,30067813332502,10/26,50000,89705.36,expired
402,76701,Visa,3556952088522432,07/33,100000,78999.34,expired
403,75487,Visa,3570525856638200,09/28,500000,1603.66,blocked
404,42179,Visa,581974633702,05/34,50000,42347.19,blocked
405,26663,Discover,5335233851195687,02/34,200000,11459.05,active
406,69378,Visa,4717529856614809,05/33,500000,27912.01,expired
407,64269,Visa,3577283255694159,05/27,500000,73377.49,blocked
408,7274,Visa,2233523167317607,11/31,50000,26979.63,active
409,64498,Discover,2290181121013968,06/26,500000,17372.11,expired
410,31174,Visa,180091891685670,12/29,50000,24584.06,active
411,18811,Discover,4370946150839,07/33,100000,3719.02,expired
412,18294,American Express,4262183260108229,08/27,100000,98576.9,expired
413,31500,Visa,180066453512033,01/31,500000,24383.01,active
414,71615,Visa,3579685286357234,09/31,500000,54917.72,blocked
415,71373,Discover,36479746057375,08/28,100000,72435.74,expired
416,21752,Visa,4726455179439550,03/34,50000,96346.26,expired
417,21329,MasterCard,4265781963551723,06/33,100000,16395.05,expired
418,636,American Express,4264059347563362,03/35,200000,24671.7,blocked
419,28357,Visa,348429029153683,12/28,500000,15227.41,expired
420,74211,MasterCard,582016401074,05/25,200000,98199.97,active
421,34109,Discover,4965745597442198,08/25,200000,12063.27,expired
422,53320,MasterCard,4176506292465511,10/25,500000,57452.94,blocked
423,60583,American Express,501888484034,05/28,200000,857.3,blocked
424,83829,MasterCard,3584697799115879,05/25,50000,71319.39,active
425,13538,American Express,372343800291225,06/28,100000,82067.05,blocked
426,29251,Discover,30014073306222,02/33,100000,38559.14,active
427,14565,Visa,3563441409968228,01/28,200000,51261.8,blocked
428,97855,MasterCard,675906229637,07/28,50000,54381.11,blocked
429,65854,Discover,6580139366184043,01/32,200000,39813.42,active
430,50701,Discover,3533896331938846,09/31,200000,35950.26,active
431,98908,Visa,3596388037058834,02/30,200000,51595.19,expired
432,88546,Discover,36951848781912,09/27,200000,76478.29,active
433,19446,MasterCard,639062642611,08/26,50000,54265.6,blocked
434,16313,Discover,675994713112,02/28,500000,91596.03,blocked
435,57117,Visa,3553470942322371,03/29,500000,69452.05,expired
436,95002,MasterCard,379594431408686,07/29,50000,68001.47,blocked
437,3193,Visa,6572462714720049,05/27,50000,41440.24,blocked
438,1426,Visa,2718486339900367,09/33,50000,79503.63,active
439,23557,Discover,4595429255520946,05/31,100000,86300.78,active
440,40227,Discover,30440865099701,12/26,200000,1371.99,blocked
441,16082,MasterCard,347728024446427,11/30,200000,68174.69,active
442,61375,Visa,2269763231218475,06/25,500000,75210.58,expired
443,60934,American Express,3575368736310541,08/34,50000,18530.01,expired
444,65108,MasterCard,6011109918290787,08/33,500000,38144.85,blocked
445,15333,MasterCard,4481769081576373,01/28,50000,70964.5,expired
446,28488,Discover,3507051665166554,07/32,500000,48820.13,expired
447,11278,American Express,30520685354202,09/25,50000,19230.86,blocked
448,45052,American Express,4051446771605052874,02/31,500000,54946.8,active
